date,spy_return,avg_sentiment
2019-01-14,-0.006101092679688193,-0.06281818181818183
2019-01-29,-0.0013271874670095175,-0.11109090909090907
2019-01-30,0.015831044077342867,-0.4123333333333333
2019-01-31,0.008782400730232454,-0.279
2019-02-07,-0.009532545640858205,-0.021000000000000022
2019-03-06,-0.006057105731247703,-0.09633333333333334
2019-03-07,-0.008365854810073722,-0.0273
2019-03-14,-0.0006392349432240795,-0.123
2019-03-20,-0.0030100769886681664,-0.036399999999999995
2019-04-26,0.0046568724133452645,-0.23326666666666665
2019-05-08,-0.0013895009788044068,-0.301
2019-05-13,-0.0251300814548077,0.2242
2019-05-24,0.0022686817922466765,0.005307692307692317
2019-05-29,-0.006710466037651908,0.182
2019-05-31,-0.013475521834826589,-0.02533333333333333
2019-06-04,0.021706440634714993,-0.3211818181818182
2019-06-14,-0.0011048480822254511,0.229625
2019-06-18,0.010470846429797462,-0.1037777777777778
2019-07-22,0.0024564334449911083,-0.0955
2019-07-24,0.004699334227465653,0.16846153846153847
2019-07-30,-0.0024547254660614607,0.5708
2019-08-05,-0.030072902826551118,-0.21000000000000002
2019-08-26,0.011058367969556684,0.29133333333333333
2019-09-04,0.011350072961460483,-0.18866666666666668
2019-09-11,0.00711045395385969,0.2926000000000001
2019-09-24,-0.007846825385280726,0.011428571428571423
2019-10-11,0.010367152193690405,-0.13216666666666665
2019-10-18,-0.004377271768927324,0.18025
2019-10-31,-0.002663716709301055,0.43133333333333335
2019-11-08,0.0024659525311446287,-0.10425
2019-12-03,-0.00670690876167116,-0.04758333333333333
2019-12-18,6.254487255255335e-05,-0.27637500000000004
2020-01-08,0.00532997289743146,0.06416666666666668
2020-01-27,-0.01602924552055255,-0.021600000000000043
2020-02-12,0.00644287740259694,-0.027363636363636343
2020-02-18,-0.0025770113395973955,0.12613333333333332
2020-02-19,0.004781381092185852,0.1814
2020-02-25,-0.030302340607795516,0.011533333333333333
2020-03-09,-0.07809447328534677,-0.10535714285714286
2020-03-17,0.053992242521737656,-0.18963636363636363
2020-03-20,-0.04309437916509624,0.03711111111111111
2020-03-25,0.014970072480964719,-0.03973333333333335
2020-04-03,-0.014454089767504872,0.0064000000000000055
2020-04-13,-0.009130149332435328,0.14075
2020-06-23,0.004603491153611097,0.0043076923076922945
2020-07-02,0.005507066384012012,-0.1572
2020-07-14,0.012959150417882545,0.2113
2020-07-16,-0.0032934474773144047,0.12440000000000001
2020-07-17,0.0028990240894804236,0.007800000000000007
2020-07-27,0.007292541438246619,0.05193333333333331
2020-08-03,0.006952283000092804,-0.14175000000000001
2020-08-24,0.010133411145125802,0.5088000000000001
2020-08-27,0.0021864055915701308,-0.006714285714285728
2020-09-01,0.009418543285753709,0.3898333333333333
2020-10-08,0.008862454002994338,-0.09086666666666662
2020-10-14,-0.0062834456958813035,-0.06490000000000004
2020-10-22,0.0054850954079757,-0.30033333333333334
2020-12-10,-0.00032685946943471336,-0.09185714285714286
2020-12-17,0.005591845260298084,-0.497125
2020-12-29,-0.0019078385160917327,0.14081818181818181
2021-01-20,0.013838850792933146,-0.16871428571428565
2021-01-22,-0.0035398096458391904,-0.07537500000000003
2021-01-27,-0.024440393184540835,-0.22200000000000006
2021-01-28,0.008600120264477379,0.05538461538461539
2021-02-10,-0.00043567241644001844,-0.08623076923076925
2021-02-11,0.0016152642724433575,0.11812499999999998
2021-02-19,-0.001765704487725872,-0.39742857142857135
2021-02-22,-0.0076919142551885615,-0.05766666666666666
2021-03-12,0.001346981062748345,-0.1407
2021-03-17,0.0034096987627389263,-0.0571428571428571
2021-03-22,0.00798494204197696,0.02186666666666667
2021-04-23,0.010842391447827521,0.0059999999999999915
2021-05-03,0.002156712771420679,-0.17126666666666665
2021-05-11,-0.008925133621247557,-0.26580000000000004
2021-06-11,0.0016526698233672696,-0.038999999999999986
2021-06-16,-0.005583280437875653,-0.16314285714285712
2021-06-22,0.005346399882733464,0.119
2021-06-23,-0.0012055397425145902,-0.0844
2021-06-29,0.0005381757025488346,-0.06985714285714287
2021-06-30,0.0008415829664516182,-0.045599999999999974
2021-07-08,-0.008147735263526426,-0.28893333333333326
2021-07-09,0.01067470733513854,0.38345454545454544
2021-08-09,-0.000813453607858862,0.14142857142857143
2021-08-18,-0.010944930970905627,0.18777777777777777
2021-08-19,0.0015482512878866978,-0.18889999999999998
2021-08-25,0.0020984321398145114,0.0752
2021-08-27,0.008940752952947679,0.0442
2021-09-20,-0.016674087090422594,-0.2975
2021-10-08,-0.001823889337124217,0.129625
2021-10-11,-0.007239735874453446,0.035750000000000004
2021-10-26,0.0008998519804077586,-0.06892307692307695
2021-11-03,0.0061053038241435445,-0.141
2021-11-09,-0.0033051296247841836,-0.24557142857142858
2021-11-10,-0.008045072796088074,-0.05881818181818181
2021-11-23,0.001326090463974945,-0.1866
2021-12-07,0.02068475134759833,0.2597142857142857
2021-12-23,0.006222100192835929,0.083375
2021-12-27,0.014152035767074364,0.20040000000000002
2022-01-14,0.0004089725786171187,0.16059999999999997
2022-02-25,0.02206400022351125,0.05516666666666666
2022-03-02,0.018396058231192444,0.09840000000000002
2022-03-14,-0.007308264124546335,0.014399999999999968
2022-03-28,0.0071129892951678755,-0.39499999999999996
2022-03-29,0.012370929388587183,0.06983333333333334
2022-04-04,0.008566767772028649,-0.14681818181818185
2022-04-21,-0.014953568899599506,0.074875
2022-04-26,-0.02896095693378873,0.10014285714285713
2022-04-27,0.002811874888445187,0.06266666666666666
2022-05-04,0.030452811242892154,0.051866666666666665
2022-05-06,-0.005969030568401645,-0.3394666666666667
2022-05-20,0.0004364780004713073,-0.25762500000000005
2022-05-31,-0.005610878206149927,0.18199999999999994
2022-06-15,0.01425620495724125,-0.01133333333333334
2022-06-24,0.03179393887184269,0.012909090909090905
2022-07-06,0.0033772162459148433,-0.12520000000000003
2022-07-08,-0.0008226430234913751,-0.41600000000000004
2022-08-09,-0.003971058734063926,0.07253333333333334
2022-10-19,-0.007086491924739086,0.01766666666666665
2022-10-25,0.015968296735997693,-0.11283333333333334
2022-10-28,0.023790674468014597,0.26625
2022-11-15,0.008528910258200413,0.04115384615384616
2022-11-16,-0.007628628671843124,-0.005800000000000005
2022-12-15,-0.024461674141529322,0.17457142857142857
2022-12-19,-0.008479710767813802,0.2378
2022-12-20,0.0013683703215903481,-0.1615
2022-12-29,0.01800027463629599,0.024444444444444435
2023-01-09,-0.0005669587130730517,0.03818181818181818
2023-01-24,-0.0010735084241612163,-0.24788888888888888
2023-02-03,-0.010629126702316326,0.10863636363636363
2023-02-17,-0.0024983119880288185,-0.12766666666666665
2023-02-23,0.005319522821901381,-0.3076
2023-02-24,-0.01068253257593731,-0.10645454545454544
2023-03-07,-0.015328680054371819,0.24726666666666663
2023-03-21,0.013130488155307088,0.07585714285714287
2023-03-31,0.014094586664215022,0.4403333333333333
2023-04-13,0.013282596514238026,0.060000000000000026
2023-04-27,0.019907943580174812,0.06354545454545453
2023-05-04,-0.007082923953549534,0.13611111111111115
2023-05-05,0.01851250357945089,0.2031666666666667
2023-05-30,0.0003809355925301488,-0.08483333333333336
2023-06-01,0.009501078482852116,0.2023
2023-06-22,0.0036097367111176987,0.1135384615384615
2023-07-07,-0.0025247135312626233,0.1152857142857143
2023-07-13,0.007936874101872528,-0.26257142857142857
2023-07-25,0.0027299062554881548,-0.3655
2023-08-01,-0.0028617420363964176,0.11272727272727275
2023-08-03,-0.002865982063864435,0.1242
2023-08-18,0.000481306734823464,0.0524
2023-09-13,0.0011659667602262477,-0.014571428571428569
2023-10-04,0.007281854754391301,0.0631818181818182
2023-10-09,0.0064020677862656845,-0.10866666666666663
2023-10-18,-0.013325026537326876,-0.06120000000000001
2023-10-26,-0.011974738740027517,-0.13614285714285712
2023-11-01,0.010664798969392826,7.692307692305992e-05
2023-11-14,0.019400737684479794,-0.1318666666666667
2023-11-17,0.0012436849231399101,-0.0069999999999999975
2023-11-28,0.0009901350886199836,-0.12499999999999997
2023-12-19,0.006080857849790537,-0.08514285714285716
2023-12-20,-0.013857261662000695,0.1907857142857143
2023-12-21,0.009481941097169787,-0.006800000000000028
2024-01-08,0.014275958914962887,-0.08271428571428571
2024-01-19,0.012466125122317314,0.14591666666666667
2024-02-22,0.020695379915826075,0.04733333333333334
2024-03-01,0.009388204867123474,0.12500000000000003
2024-03-11,-0.0008598045719229175,0.15945454545454546
2024-03-15,-0.0068666562279638315,0.042499999999999996
2024-03-22,-0.0018961284693555759,0.19126666666666664
2024-03-26,-0.0018469854070511248,-0.018714285714285708
2024-04-11,0.0075470646350835335,0.06642857142857143
2024-04-18,-0.002057688811081116,-0.37437500000000007
2024-04-22,0.009209170061707083,-0.09936363636363633
2024-05-01,-0.003247033702386865,-0.0845
2024-05-06,0.010326871593871686,-0.11093333333333331
2024-05-08,9.653046894694154e-05,0.32833333333333337
2024-05-09,0.005761819934562746,0.05823076923076924
2024-05-10,0.001288220710128828,-0.030199999999999984
2024-05-13,0.00013433778929771237,0.06685714285714286
2024-06-11,0.0024080473276639944,-0.08399999999999999
2024-06-28,-0.003935054810178064,-0.19842857142857145
2024-07-16,0.005930054119454776,-0.0521
2024-07-24,-0.022662517054599,-0.12127272727272725
2024-08-05,-0.029123696595170296,-0.01171428571428571
2024-08-21,0.0034365053943285684,0.0029999999999999975
2024-09-18,-0.0029658869080359355,-0.3655
2024-09-24,0.0028612906790460367,-0.042333333333333334
2024-10-08,0.009457633661455318,0.02842857142857142
2024-10-09,0.006926370066027018,-0.06625
2024-10-11,0.005988247396989942,-0.038428571428571416
2024-10-16,0.004346502515658736,-0.23427272727272727
2024-10-17,8.572208496904615e-05,-0.05179999999999999
2024-10-25,-0.0003452330483054305,-0.10287499999999998
2024-11-07,0.007732078640910143,0.03776923076923079
2024-11-15,-0.012808551500482525,-0.17346666666666666
2024-11-20,0.00033886931512188095,0.4066666666666666
2019-01-03,-0.023862683174131347,0.24442857142857147
2019-01-24,0.0005316960938415669,-0.08700000000000002
