symbol,total_records,start_date,end_date,min_price,max_price,avg_price,price_std,avg_daily_return,return_volatility,avg_volume,latest_price,annualized_return,annualized_volatility,sharpe_ratio
AAPL,11330,1980-12-12,2025-11-24,0.037644628435373306,275.9200134277344,27.416804856251325,56.69258355975811,0.0010901368706569055,0.027670655535846973,310323699.6887908,275.9200134277344,27.47144914055402,43.925803897190285,0.6254057229061033
AMZN,7178,1997-05-15,2025-11-24,0.0697920024394989,254.0,45.29929693584743,63.84359521461837,0.0016777786683290956,0.03491386880288623,133691449.58748955,226.27999877929688,42.28002244189321,55.42404849574402,0.7628461577493725
DIA,7007,1998-01-20,2025-11-24,42.11238098144531,482.15301513671875,150.4333963341085,111.20727783280834,0.0004055467148178352,0.011740431297142483,6459392.572713002,464.44000244140625,10.219777213409447,18.637356898127084,0.5483490641549317
MSFT,10004,1986-03-13,2025-11-24,0.05514685437083244,541.057373046875,65.3336820061103,113.04300211817055,0.0011181299274073038,0.0209229660347556,55609916.527788885,474.0,28.176874170664057,33.214178890688714,0.8483387249583093
QQQ,6721,1999-03-10,2025-11-24,16.964994430541992,635.77001953125,133.64311244966302,140.26477507175574,0.00053810798429809,0.017059507094195948,65030451.2039875,605.1599731445312,13.560321204311867,27.08112795635077,0.5007295569877417
WMT,13424,1972-08-25,2025-11-24,0.0028175320476293564,109.02999877929688,13.07493814613663,18.646246952289243,0.0008468641464838423,0.018366987956068535,22390897.514451727,104.05999755859375,21.340976491392826,29.15668947904552,0.7319410012830938
XOM,16083,1962-01-02,2025-11-24,0.0831930860877037,119.94603729248047,21.57291271681106,28.121162477394,0.0005504537300085657,0.01445865291211913,9595690.652925448,115.97000122070312,13.871433996215854,22.95239993908023,0.6043565828860215
BAC,13304,1973-02-21,2025-11-24,0.27135196328163147,54.11000061035156,12.846500590515294,12.226311497769789,0.0005445008054471573,0.0236526145511463,38721985.097188815,51.93000030517578,13.721420297268363,37.54736157528045,0.3654429957683618
GOOGL,5352,2004-08-19,2025-11-24,2.485609769821167,318.5799865722656,53.96418539491469,54.83065058199023,0.0010923843395952476,0.019342865696000012,112280656.27372944,318.5799865722656,27.52808535780024,30.705847364962995,0.8965095485106609
GS,6683,1999-05-04,2025-11-24,38.811363220214844,838.969970703125,170.99375639257184,135.84857024295272,0.0006730007233966129,0.022740487698786227,4857453.123746821,790.7100219726562,16.959618229594646,36.099405085987115,0.4698032610010503
JNJ,16083,1962-01-02,2025-11-24,0.039244845509529114,206.0500030517578,32.36935065687305,46.70081279223093,0.0006082123783480232,0.014352311066907483,5721288.197662128,206.0500030517578,15.326951934370184,22.783587493246387,0.6727189885663734
JPM,11518,1980-03-17,2025-11-24,1.0390594005584717,320.4100036621094,39.22255348662449,54.927706292222894,0.0007344816463329633,0.02209876394065731,11877616.643601319,298.0,18.508937487590675,35.08070020134058,0.5276102638020711
KO,16083,1962-01-02,2025-11-24,0.03358742222189903,72.94999694824219,13.210420603213654,17.266520498067823,0.0005623356755546775,0.014375500073564178,9402135.746999938,72.58999633789062,14.170859023977872,22.820398900104927,0.620973326803359
META,3400,2012-05-18,2025-11-24,17.621370315551758,789.4671630859375,216.69461517726674,175.00875491940496,0.0011322040400876406,0.0250735780779901,28425889.019411765,613.0499877929688,28.531541810208545,39.803071243753614,0.7168175951921314
NVDA,6753,1999-01-22,2025-11-24,0.0312795415520668,207.0399932861328,12.944456611977174,34.19644542938299,0.001959517270858271,0.037605830259610014,588120041.2778025,182.5500030517578,49.37983522562843,59.69740482782139,0.8271688755658512
PG,16083,1962-01-02,2025-11-24,0.15965688228607178,175.0745086669922,28.69229342759319,41.58551875443228,0.00048778346443122453,0.01339782631577956,5139113.590437108,146.97999572753906,12.292143303666858,21.26838992423367,0.5779536367095152
SPY,8263,1993-01-29,2025-11-24,24.019052505493164,687.3900146484375,163.88423142334486,147.20735020640117,0.0004702612409009268,0.011750708497016423,83317308.16555731,668.72998046875,11.850583270703355,18.653671447151414,0.6352949500733834
TSLA,3877,2010-06-29,2025-11-24,1.053333044052124,479.8599853515625,96.86369389985866,122.3494888214065,0.0020981497336452167,0.03646839407502692,96900256.06989941,417.7799987792969,52.87337328785946,57.89178086185358,0.9133139886304502
