dominant_topic,sentiment,count
5,negative,1312
4,positive,1885
3,positive,602
1,negative,1220
7,neutral,1307
6,neutral,790
2,positive,1242
4,negative,1197
4,neutral,1698
1,neutral,360
3,negative,625
3,neutral,1557
0,neutral,801
2,negative,1231
0,positive,1247
7,positive,602
6,positive,1221
1,positive,605
0,negative,575
6,negative,1312
