symbol,company,total_mentions,same_day_corr,next_day_corr,sentiment_return_corr
AAPL,Apple,636,-0.0027739695669216015,-0.00760409651269112,-0.002743475573897902
MSFT,Microsoft,653,0.025918518702610204,-0.00501517340152007,-0.0184563713713851
GOOGL,Google,651,-0.006833841236079058,0.012673565526817194,0.00543182273161364
AMZN,Amazon,658,0.017603790625927134,0.02936698813838612,-0.004739755720090479
TSLA,Tesla,674,-0.012454094306536831,0.03356936869337695,-0.014100697092769135
META,Facebook,665,0.00461249044172866,-0.0019717419243827227,0.005901960661694635
NVDA,Nvidia,638,-0.05214855514480245,-0.018474907067789634,-0.020507152056216844
JPM,JPMorgan,627,-0.0524595300872038,-0.0028695633768169274,0.010600041029625274
GS,Goldman,1971,-0.037210676258317664,-0.02803303044525218,-0.007777008956371402
BAC,Bank of America,606,-0.006961463592892225,0.0012772226371484169,-0.007831978219504045
