Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,primary_country
2015-12-07,98.3499984741211,98.9000015258789,98.30000305175781,98.66000366210938,0,0.0,0.0,DX-Y.NYB,USA
2015-12-08,98.7300033569336,98.76000213623047,98.37000274658203,98.47000122070312,0,0.0,0.0,DX-Y.NYB,USA
2015-12-09,98.44000244140625,98.5199966430664,97.22000122070312,97.3499984741211,0,0.0,0.0,DX-Y.NYB,USA
2015-12-10,97.41000366210938,97.98999786376953,97.36000061035156,97.94000244140625,0,0.0,0.0,DX-Y.NYB,USA
2015-12-11,97.9800033569336,98.0999984741211,97.33000183105469,97.56999969482422,0,0.0,0.0,DX-Y.NYB,USA
2015-12-14,97.62000274658203,97.93000030517578,97.27999877929688,97.5999984741211,0,0.0,0.0,DX-Y.NYB,USA
2015-12-15,97.63999938964844,98.29000091552734,97.19000244140625,98.22000122070312,0,0.0,0.0,DX-Y.NYB,USA
2015-12-16,98.18000030517578,98.55999755859375,97.66000366210938,97.87000274658203,0,0.0,0.0,DX-Y.NYB,USA
2015-12-17,98.55999755859375,99.29000091552734,98.52999877929688,99.2699966430664,0,0.0,0.0,DX-Y.NYB,USA
2015-12-18,99.01000213623047,99.18000030517578,98.63999938964844,98.69999694824219,0,0.0,0.0,DX-Y.NYB,USA
2015-12-21,98.72000122070312,98.83999633789062,98.29000091552734,98.45999908447266,0,0.0,0.0,DX-Y.NYB,USA
2015-12-22,98.44999694824219,98.51000213623047,98.0,98.23999786376953,0,0.0,0.0,DX-Y.NYB,USA
2015-12-23,98.20999908447266,98.5999984741211,98.19000244140625,98.33999633789062,0,0.0,0.0,DX-Y.NYB,USA
2015-12-24,98.33999633789062,98.37999725341797,97.86000061035156,97.9800033569336,0,0.0,0.0,DX-Y.NYB,USA
2015-12-28,97.8499984741211,98.02999877929688,97.80999755859375,97.91999816894531,0,0.0,0.0,DX-Y.NYB,USA
2015-12-29,97.9000015258789,98.41000366210938,97.80000305175781,98.0999984741211,0,0.0,0.0,DX-Y.NYB,USA
2015-12-30,98.19999694824219,98.41000366210938,98.11000061035156,98.2699966430664,0,0.0,0.0,DX-Y.NYB,USA
2015-12-31,98.20999908447266,98.75,98.18000030517578,98.62999725341797,0,0.0,0.0,DX-Y.NYB,USA
2016-01-04,98.69000244140625,99.18000030517578,98.05000305175781,98.87000274658203,0,0.0,0.0,DX-Y.NYB,USA
2016-01-05,98.87000274658203,99.62999725341797,98.75,99.4000015258789,0,0.0,0.0,DX-Y.NYB,USA
2016-01-06,99.38999938964844,99.58000183105469,99.11000061035156,99.18000030517578,0,0.0,0.0,DX-Y.NYB,USA
2016-01-07,99.22000122070312,99.30000305175781,98.16999816894531,98.22000122070312,0,0.0,0.0,DX-Y.NYB,USA
2016-01-08,98.30999755859375,99.18000030517578,98.2699966430664,98.54000091552734,0,0.0,0.0,DX-Y.NYB,USA
2016-01-11,98.37000274658203,98.9000015258789,98.25,98.7300033569336,0,0.0,0.0,DX-Y.NYB,USA
2016-01-12,98.80000305175781,99.27999877929688,98.56999969482422,98.97000122070312,0,0.0,0.0,DX-Y.NYB,USA
2016-01-13,99.02999877929688,99.33000183105469,98.86000061035156,98.93000030517578,0,0.0,0.0,DX-Y.NYB,USA
2016-01-14,98.81999969482422,99.26000213623047,98.58999633789062,99.08999633789062,0,0.0,0.0,DX-Y.NYB,USA
2016-01-15,99.0999984741211,99.12000274658203,98.37999725341797,98.95999908447266,0,0.0,0.0,DX-Y.NYB,USA
2016-01-18,98.80000305175781,99.19999694824219,98.80000305175781,99.12000274658203,0,0.0,0.0,DX-Y.NYB,USA
2016-01-19,99.12999725341797,99.30999755859375,98.86000061035156,98.98999786376953,0,0.0,0.0,DX-Y.NYB,USA
2016-01-20,99.0199966430664,99.19000244140625,98.62999725341797,99.08999633789062,0,0.0,0.0,DX-Y.NYB,USA
2016-01-21,99.18000030517578,99.80000305175781,98.91000366210938,99.05999755859375,0,0.0,0.0,DX-Y.NYB,USA
2016-01-22,99.18000030517578,99.58999633789062,99.11000061035156,99.56999969482422,0,0.0,0.0,DX-Y.NYB,USA
