file,rows,columns,size_kb,column_list
commodities.csv,22630,10,2092.56640625,"Date, Open, High, Low, Close..."
country_indices.csv,44323,11,4882.9775390625,"Date, Open, High, Low, Close..."
country_news.csv,1062,8,463.333984375,"country, country_name, keyword, title, description..."
country_stocks.csv,151328,11,18043.4560546875,"Date, Open, High, Low, Close..."
crypto.csv,12789,10,1494.3857421875,"Date, Open, High, Low, Close..."
exchange_rates.csv,25954,10,2780.123046875,"Date, Open, High, Low, Close..."
fred_extended.csv,53172,4,2530.1494140625,"series_id, series_name, date, value..."
