Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,country,country_name
2015-12-07,2090.419921875,2090.419921875,2066.780029296875,2077.070068359375,4043820000,0.0,0.0,^GSPC,USA,United States
2015-12-08,2073.389892578125,2073.85009765625,2052.320068359375,2063.590087890625,4173570000,0.0,0.0,^GSPC,USA,United States
2015-12-09,2061.169921875,2080.330078125,2036.530029296875,2047.6199951171875,4385250000,0.0,0.0,^GSPC,USA,United States
2015-12-10,2047.9300537109375,2067.64990234375,2045.6700439453125,2052.22998046875,3715150000,0.0,0.0,^GSPC,USA,United States
2015-12-11,2047.27001953125,2047.27001953125,2008.800048828125,2012.3699951171875,4301060000,0.0,0.0,^GSPC,USA,United States
2015-12-14,2013.3699951171875,2022.9200439453125,1993.260009765625,2021.93994140625,4612440000,0.0,0.0,^GSPC,USA,United States
2015-12-15,2025.550048828125,2053.8701171875,2025.550048828125,2043.4100341796875,4353540000,0.0,0.0,^GSPC,USA,United States
2015-12-16,2046.5,2076.719970703125,2042.4300537109375,2073.070068359375,4635450000,0.0,0.0,^GSPC,USA,United States
2015-12-17,2073.760009765625,2076.3701171875,2041.6600341796875,2041.8900146484375,4327390000,0.0,0.0,^GSPC,USA,United States
2015-12-18,2040.81005859375,2040.81005859375,2005.3299560546875,2005.550048828125,6683070000,0.0,0.0,^GSPC,USA,United States
2015-12-21,2010.27001953125,2022.9000244140625,2005.9300537109375,2021.1500244140625,3760280000,0.0,0.0,^GSPC,USA,United States
2015-12-22,2023.1500244140625,2042.739990234375,2020.489990234375,2038.969970703125,3520860000,0.0,0.0,^GSPC,USA,United States
2015-12-23,2042.199951171875,2064.72998046875,2042.199951171875,2064.2900390625,3484090000,0.0,0.0,^GSPC,USA,United States
2015-12-24,2063.52001953125,2067.360107421875,2058.72998046875,2060.989990234375,1411860000,0.0,0.0,^GSPC,USA,United States
2015-12-28,2057.77001953125,2057.77001953125,2044.199951171875,2056.5,2492510000,0.0,0.0,^GSPC,USA,United States
2015-12-29,2060.5400390625,2081.56005859375,2060.5400390625,2078.360107421875,2542000000,0.0,0.0,^GSPC,USA,United States
2015-12-30,2077.340087890625,2077.340087890625,2061.969970703125,2063.360107421875,2367430000,0.0,0.0,^GSPC,USA,United States
2015-12-31,2060.590087890625,2062.5400390625,2043.6199951171875,2043.93994140625,2655330000,0.0,0.0,^GSPC,USA,United States
2016-01-04,2038.199951171875,2038.199951171875,1989.6800537109375,2012.6600341796875,4304880000,0.0,0.0,^GSPC,USA,United States
2016-01-05,2013.780029296875,2021.93994140625,2004.1700439453125,2016.7099609375,3706620000,0.0,0.0,^GSPC,USA,United States
2016-01-06,2011.7099609375,2011.7099609375,1979.050048828125,1990.260009765625,4336660000,0.0,0.0,^GSPC,USA,United States
2016-01-07,1985.3199462890625,1985.3199462890625,1938.8299560546875,1943.0899658203125,5076590000,0.0,0.0,^GSPC,USA,United States
2016-01-08,1945.969970703125,1960.4000244140625,1918.4599609375,1922.030029296875,4664940000,0.0,0.0,^GSPC,USA,United States
2016-01-11,1926.1199951171875,1935.6500244140625,1901.0999755859375,1923.6700439453125,4607290000,0.0,0.0,^GSPC,USA,United States
2016-01-12,1927.8299560546875,1947.3800048828125,1914.3499755859375,1938.6800537109375,4887260000,0.0,0.0,^GSPC,USA,United States
2016-01-13,1940.3399658203125,1950.3299560546875,1886.4100341796875,1890.280029296875,5087030000,0.0,0.0,^GSPC,USA,United States
2016-01-14,1891.6800537109375,1934.469970703125,1878.9300537109375,1921.8399658203125,5241110000,0.0,0.0,^GSPC,USA,United States
2016-01-15,1916.6800537109375,1916.6800537109375,1857.8299560546875,1880.3299560546875,5468460000,0.0,0.0,^GSPC,USA,United States
2016-01-19,1888.6600341796875,1901.43994140625,1864.5999755859375,1881.3299560546875,4928350000,0.0,0.0,^GSPC,USA,United States
2016-01-20,1876.1800537109375,1876.1800537109375,1812.2900390625,1859.3299560546875,6416070000,0.0,0.0,^GSPC,USA,United States
2016-01-21,1861.4599609375,1889.8499755859375,1848.97998046875,1868.989990234375,5078810000,0.0,0.0,^GSPC,USA,United States
2016-01-22,1877.4000244140625,1908.8499755859375,1877.4000244140625,1906.9000244140625,4901760000,0.0,0.0,^GSPC,USA,United States
2016-01-25,1906.280029296875,1906.280029296875,1875.969970703125,1877.0799560546875,4401380000,0.0,0.0,^GSPC,USA,United States
2016-01-26,1878.7900390625,1906.72998046875,1878.7900390625,1903.6300048828125,4357940000,0.0,0.0,^GSPC,USA,United States
2016-01-27,1902.52001953125,1916.989990234375,1872.699951171875,1882.949951171875,4754040000,0.0,0.0,^GSPC,USA,United States
2016-01-28,1885.219970703125,1902.9599609375,1873.6500244140625,1893.3599853515625,4693010000,0.0,0.0,^GSPC,USA,United States
2016-01-29,1894.0,1940.239990234375,1894.0,1940.239990234375,5497570000,0.0,0.0,^GSPC,USA,United States
2016-02-01,1936.93994140625,1947.199951171875,1920.300048828125,1939.3800048828125,4322530000,0.0,0.0,^GSPC,USA,United States
2016-02-02,1935.260009765625,1935.260009765625,1897.2900390625,1903.030029296875,4463190000,0.0,0.0,^GSPC,USA,United States
2016-02-03,1907.0699462890625,1918.010009765625,1872.22998046875,1912.530029296875,5172950000,0.0,0.0,^GSPC,USA,United States
2016-02-04,1911.6700439453125,1927.3499755859375,1900.52001953125,1915.449951171875,5193320000,0.0,0.0,^GSPC,USA,United States
2016-02-05,1913.0699462890625,1913.0699462890625,1872.6500244140625,1880.050048828125,4929940000,0.0,0.0,^GSPC,USA,United States
2016-02-08,1873.25,1873.25,1828.4599609375,1853.43994140625,5636460000,0.0,0.0,^GSPC,USA,United States
2016-02-09,1848.4599609375,1868.25,1834.93994140625,1852.2099609375,5183220000,0.0,0.0,^GSPC,USA,United States
2016-02-10,1857.0999755859375,1881.5999755859375,1850.3199462890625,1851.8599853515625,4471170000,0.0,0.0,^GSPC,USA,United States
2016-02-11,1847.0,1847.0,1810.0999755859375,1829.0799560546875,5500800000,0.0,0.0,^GSPC,USA,United States
2016-02-12,1833.4000244140625,1864.780029296875,1833.4000244140625,1864.780029296875,4696920000,0.0,0.0,^GSPC,USA,United States
2016-02-16,1871.43994140625,1895.77001953125,1871.43994140625,1895.5799560546875,4570670000,0.0,0.0,^GSPC,USA,United States
2016-02-17,1898.800048828125,1930.6800537109375,1898.800048828125,1926.8199462890625,5011540000,0.0,0.0,^GSPC,USA,United States
2016-02-18,1927.5699462890625,1930.0,1915.0899658203125,1917.8299560546875,4436490000,0.0,0.0,^GSPC,USA,United States
2016-02-19,1916.739990234375,1918.780029296875,1902.1700439453125,1917.780029296875,4142850000,0.0,0.0,^GSPC,USA,United States
2016-02-22,1924.43994140625,1946.699951171875,1924.43994140625,1945.5,4054710000,0.0,0.0,^GSPC,USA,United States
2016-02-23,1942.3800048828125,1942.3800048828125,1919.43994140625,1921.27001953125,3890650000,0.0,0.0,^GSPC,USA,United States
2016-02-24,1917.56005859375,1932.0799560546875,1891.0,1929.800048828125,4317250000,0.0,0.0,^GSPC,USA,United States
2016-02-25,1931.8699951171875,1951.8299560546875,1925.4100341796875,1951.699951171875,4118210000,0.0,0.0,^GSPC,USA,United States
2016-02-26,1954.949951171875,1962.9599609375,1945.780029296875,1948.050048828125,4348510000,0.0,0.0,^GSPC,USA,United States
2016-02-29,1947.1300048828125,1958.27001953125,1931.81005859375,1932.22998046875,4588180000,0.0,0.0,^GSPC,USA,United States
2016-03-01,1937.0899658203125,1978.3499755859375,1937.0899658203125,1978.3499755859375,4819750000,0.0,0.0,^GSPC,USA,United States
2016-03-02,1976.5999755859375,1986.510009765625,1968.800048828125,1986.449951171875,4666610000,0.0,0.0,^GSPC,USA,United States
2016-03-03,1985.5999755859375,1993.68994140625,1977.3699951171875,1993.4000244140625,5081700000,0.0,0.0,^GSPC,USA,United States
2016-03-04,1994.010009765625,2009.1300048828125,1986.77001953125,1999.989990234375,6049930000,0.0,0.0,^GSPC,USA,United States
2016-03-07,1996.1099853515625,2006.1199951171875,1989.3800048828125,2001.760009765625,4968180000,0.0,0.0,^GSPC,USA,United States
2016-03-08,1996.8800048828125,1996.8800048828125,1977.4300537109375,1979.260009765625,4641650000,0.0,0.0,^GSPC,USA,United States
2016-03-09,1981.43994140625,1992.68994140625,1979.8399658203125,1989.260009765625,4038120000,0.0,0.0,^GSPC,USA,United States
2016-03-10,1990.969970703125,2005.0799560546875,1969.25,1989.5699462890625,4376790000,0.0,0.0,^GSPC,USA,United States
2016-03-11,1994.7099609375,2022.3699951171875,1994.7099609375,2022.18994140625,4078620000,0.0,0.0,^GSPC,USA,United States
2016-03-14,2019.27001953125,2024.5699462890625,2012.050048828125,2019.6400146484375,3487850000,0.0,0.0,^GSPC,USA,United States
2016-03-15,2015.27001953125,2015.93994140625,2005.22998046875,2015.9300537109375,3560280000,0.0,0.0,^GSPC,USA,United States
2016-03-16,2014.239990234375,2032.02001953125,2010.0400390625,2027.219970703125,4057020000,0.0,0.0,^GSPC,USA,United States
2016-03-17,2026.9000244140625,2046.239990234375,2022.1600341796875,2040.5899658203125,4530480000,0.0,0.0,^GSPC,USA,United States
2016-03-18,2041.1600341796875,2052.360107421875,2041.1600341796875,2049.580078125,6503140000,0.0,0.0,^GSPC,USA,United States
2016-03-21,2047.8800048828125,2053.909912109375,2043.1400146484375,2051.60009765625,3376600000,0.0,0.0,^GSPC,USA,United States
2016-03-22,2048.639892578125,2056.60009765625,2040.5699462890625,2049.800048828125,3418460000,0.0,0.0,^GSPC,USA,United States
2016-03-23,2048.550048828125,2048.550048828125,2034.8599853515625,2036.7099609375,3639510000,0.0,0.0,^GSPC,USA,United States
2016-03-24,2032.47998046875,2036.0400390625,2022.489990234375,2035.93994140625,3407720000,0.0,0.0,^GSPC,USA,United States
2016-03-28,2037.8900146484375,2042.6700439453125,2031.9599609375,2037.050048828125,2809090000,0.0,0.0,^GSPC,USA,United States
2016-03-29,2035.75,2055.909912109375,2028.31005859375,2055.010009765625,3822330000,0.0,0.0,^GSPC,USA,United States
2016-03-30,2058.27001953125,2072.2099609375,2058.27001953125,2063.949951171875,3590310000,0.0,0.0,^GSPC,USA,United States
2016-03-31,2063.77001953125,2067.919921875,2057.4599609375,2059.739990234375,3715280000,0.0,0.0,^GSPC,USA,United States
2016-04-01,2056.6201171875,2075.070068359375,2043.97998046875,2072.780029296875,3749990000,0.0,0.0,^GSPC,USA,United States
2016-04-04,2073.18994140625,2074.02001953125,2062.570068359375,2066.1298828125,3485710000,0.0,0.0,^GSPC,USA,United States
2016-04-05,2062.5,2062.5,2042.56005859375,2045.1700439453125,4154920000,0.0,0.0,^GSPC,USA,United States
2016-04-06,2045.56005859375,2067.330078125,2043.0899658203125,2066.659912109375,3750800000,0.0,0.0,^GSPC,USA,United States
2016-04-07,2063.010009765625,2063.010009765625,2033.800048828125,2041.9100341796875,3801250000,0.0,0.0,^GSPC,USA,United States
2016-04-08,2045.5400390625,2060.6298828125,2041.68994140625,2047.5999755859375,3359530000,0.0,0.0,^GSPC,USA,United States
2016-04-11,2050.22998046875,2062.929931640625,2041.8800048828125,2041.989990234375,3567840000,0.0,0.0,^GSPC,USA,United States
2016-04-12,2043.719970703125,2065.050048828125,2039.739990234375,2061.719970703125,4239740000,0.0,0.0,^GSPC,USA,United States
2016-04-13,2065.919921875,2083.179931640625,2065.919921875,2082.419921875,4191830000,0.0,0.0,^GSPC,USA,United States
2016-04-14,2082.889892578125,2087.840087890625,2078.1298828125,2082.780029296875,3765870000,0.0,0.0,^GSPC,USA,United States
2016-04-15,2083.10009765625,2083.219970703125,2076.31005859375,2080.72998046875,3701450000,0.0,0.0,^GSPC,USA,United States
2016-04-18,2078.830078125,2094.659912109375,2073.64990234375,2094.340087890625,3316880000,0.0,0.0,^GSPC,USA,United States
2016-04-19,2096.050048828125,2104.050048828125,2091.679931640625,2100.800048828125,3896830000,0.0,0.0,^GSPC,USA,United States
2016-04-20,2101.52001953125,2111.050048828125,2096.320068359375,2102.39990234375,4184880000,0.0,0.0,^GSPC,USA,United States
2016-04-21,2102.090087890625,2103.780029296875,2088.52001953125,2091.47998046875,4175290000,0.0,0.0,^GSPC,USA,United States
2016-04-22,2091.489990234375,2094.320068359375,2081.199951171875,2091.580078125,3790580000,0.0,0.0,^GSPC,USA,United States
2016-04-25,2089.3701171875,2089.3701171875,2077.52001953125,2087.7900390625,3319740000,0.0,0.0,^GSPC,USA,United States
2016-04-26,2089.840087890625,2096.8701171875,2085.800048828125,2091.699951171875,3557190000,0.0,0.0,^GSPC,USA,United States
2016-04-27,2092.330078125,2099.889892578125,2082.31005859375,2095.14990234375,4100110000,0.0,0.0,^GSPC,USA,United States
2016-04-28,2090.929931640625,2099.300048828125,2071.6201171875,2075.81005859375,4309840000,0.0,0.0,^GSPC,USA,United States
2016-04-29,2071.820068359375,2073.85009765625,2052.280029296875,2065.300048828125,4704720000,0.0,0.0,^GSPC,USA,United States
2016-05-02,2067.169921875,2083.419921875,2066.110107421875,2081.429931640625,3841110000,0.0,0.0,^GSPC,USA,United States
2016-05-03,2077.179931640625,2077.179931640625,2054.889892578125,2063.3701171875,4173390000,0.0,0.0,^GSPC,USA,United States
2016-05-04,2060.300048828125,2060.300048828125,2045.550048828125,2051.1201171875,4058560000,0.0,0.0,^GSPC,USA,United States
2016-05-05,2052.949951171875,2060.22998046875,2045.77001953125,2050.6298828125,4008530000,0.0,0.0,^GSPC,USA,United States
2016-05-06,2047.77001953125,2057.719970703125,2039.449951171875,2057.139892578125,3796350000,0.0,0.0,^GSPC,USA,United States
2016-05-09,2057.550048828125,2064.14990234375,2054.31005859375,2058.68994140625,3788620000,0.0,0.0,^GSPC,USA,United States
2016-05-10,2062.6298828125,2084.8701171875,2062.6298828125,2084.389892578125,3600200000,0.0,0.0,^GSPC,USA,United States
2016-05-11,2083.2900390625,2083.2900390625,2064.4599609375,2064.4599609375,3821980000,0.0,0.0,^GSPC,USA,United States
2016-05-12,2067.169921875,2073.989990234375,2053.1298828125,2064.110107421875,3782390000,0.0,0.0,^GSPC,USA,United States
2016-05-13,2062.5,2066.7900390625,2043.1300048828125,2046.6099853515625,3579880000,0.0,0.0,^GSPC,USA,United States
2016-05-16,2046.530029296875,2071.8798828125,2046.530029296875,2066.659912109375,3501360000,0.0,0.0,^GSPC,USA,United States
2016-05-17,2065.0400390625,2065.68994140625,2040.8199462890625,2047.2099609375,4108960000,0.0,0.0,^GSPC,USA,United States
2016-05-18,2044.3800048828125,2060.610107421875,2034.489990234375,2047.6300048828125,4101320000,0.0,0.0,^GSPC,USA,United States
2016-05-19,2044.2099609375,2044.2099609375,2025.9100341796875,2040.0400390625,3846770000,0.0,0.0,^GSPC,USA,United States
2016-05-20,2041.8800048828125,2058.35009765625,2041.8800048828125,2052.320068359375,3507650000,0.0,0.0,^GSPC,USA,United States
2016-05-23,2052.22998046875,2055.580078125,2047.260009765625,2048.0400390625,3055480000,0.0,0.0,^GSPC,USA,United States
2016-05-24,2052.64990234375,2079.669921875,2052.64990234375,2076.06005859375,3627340000,0.0,0.0,^GSPC,USA,United States
2016-05-25,2078.929931640625,2094.72998046875,2078.929931640625,2090.5400390625,3859160000,0.0,0.0,^GSPC,USA,United States
2016-05-26,2091.43994140625,2094.300048828125,2087.080078125,2090.10009765625,3230990000,0.0,0.0,^GSPC,USA,United States
2016-05-27,2090.06005859375,2099.06005859375,2090.06005859375,2099.06005859375,3079150000,0.0,0.0,^GSPC,USA,United States
2016-05-31,2100.1298828125,2103.47998046875,2088.659912109375,2096.949951171875,4514410000,0.0,0.0,^GSPC,USA,United States
