date,close,high,low,open,volume,symbol
2020-11-26,59959.1640625,59959.1640625,58195.65923713236,58283.834478400735,19023323,SAMSUNG
2020-11-27,60135.51171875,60311.86219299853,59606.4602960044,59959.16124450146,14063434,SAMSUNG
2020-11-30,58812.88671875,60488.216325431036,58812.88671875,60311.86584051724,43811016,SAMSUNG
2020-12-01,59782.81640625,60223.69263343474,59165.58968819137,59165.58968819137,22327173,SAMSUNG
2020-12-02,61281.79296875,61634.493935476625,60223.69006857015,60311.8653102518,29703942,SAMSUNG
2020-12-03,61458.13671875,62163.538574919294,61105.435790665346,61810.83764683465,23677989,SAMSUNG
2020-12-04,63045.30078125,63574.35225633741,61810.84733937937,62075.373076923075,28130533,SAMSUNG
2020-12-07,64279.7421875,64808.79356352881,63397.989894118655,63838.86604080933,28490496,SAMSUNG
2020-12-08,63221.65234375,64279.75531184623,63133.47709640865,63662.52858045676,25000338,SAMSUNG
2020-12-09,65161.50390625,65161.50390625,63486.17430649526,63574.34954858762,24077996,SAMSUNG
2020-12-10,64279.7421875,65073.31925154321,63927.04127014746,64103.39172882373,39882928,SAMSUNG
2020-12-11,64720.625,65073.325953678475,64456.09928474115,64808.80023841962,18486672,SAMSUNG
2020-12-14,65073.3359375,65690.56270113483,64544.284425813006,64896.985433604335,21510415,SAMSUNG
2020-12-15,65073.3359375,65337.8616933435,64632.45967776084,65073.3359375,20863671,SAMSUNG
2020-12-16,65073.3359375,65690.56270113483,64720.63492970867,65337.8616933435,17512081,SAMSUNG
2020-12-17,64632.44921875,64985.15016946623,64015.22255499659,64720.624456429054,24293214,SAMSUNG
2020-12-18,64367.9140625,64985.14063570205,64367.9140625,64632.43973672945,17613029,SAMSUNG
2020-12-21,64367.9140625,64720.6149614726,63486.16181506849,64456.08928724315,20367355,SAMSUNG
2020-12-22,63750.69921875,64544.27638744813,63574.34873681708,63927.04970068292,16304910,SAMSUNG
2020-12-23,65161.50390625,65249.67914834235,63750.70003277233,63838.87527486468,19411326,SAMSUNG
2020-12-24,68600.34375,69482.0962403599,65249.68428663239,65337.85953566839,32502870,SAMSUNG
2020-12-28,69393.9296875,70628.38332870077,68953.05338707117,69658.4554677573,40085044,SAMSUNG
2020-12-29,70778.7578125,71321.12377274904,69874.81454541827,71230.72944604087,30339449,SAMSUNG
2020-12-30,73219.390625,73490.57355324074,69874.80117669753,69965.1954861111,29417421,SAMSUNG
