date,daily_return,close,volume
1993-01-29 14:00:00,,24.31304931640625,1003200
1993-02-01 14:00:00,0.007112004041722627,24.485963821411133,480500
1993-02-02 14:00:00,0.0021181369212873616,24.53782844543457,201300
1993-02-03 14:00:00,0.010571097815146325,24.79722023010254,529400
1993-02-04 14:00:00,0.00418425361042729,24.900978088378906,531500
1993-02-05 14:00:00,-0.0006942782707752661,24.883689880371094,492100
1993-02-08 14:00:00,0.0,24.883689880371094,596100
1993-02-09 14:00:00,-0.006949522543694649,24.71076011657715,122100
1993-02-10 14:00:00,0.0013997084648245482,24.74534797668457,379600
1993-02-11 14:00:00,0.0048917466728237435,24.866395950317383,19500
1993-02-12 14:00:00,-0.007649369459727902,24.676183700561523,42500
1993-02-16 14:00:00,-0.025228277616561625,24.053646087646484,374800
1993-02-17 14:00:00,-0.0007188147399127653,24.03635597229004,210900
1993-02-18 14:00:00,-0.0007198872747941929,24.019052505493164,378100
1993-02-19 14:00:00,0.0036006000523628352,24.10553550720215,34900
1993-02-22 14:00:00,0.0035862579948810923,24.191984176635742,513600
1993-02-23 14:00:00,-0.0007143100990439046,24.17470359802246,373700
1993-02-24 14:00:00,0.012875451486988803,24.485963821411133,26300
1993-02-25 14:00:00,0.0021181369212873616,24.53782844543457,44500
1993-02-26 14:00:00,0.0014098061786619379,24.57242202758789,66200
1993-03-01 14:00:00,-0.002815332360580503,24.50324249267578,66500
1993-03-02 14:00:00,0.01482062864741885,24.866395950317383,182400
1993-03-03 14:00:00,0.0041723066378065825,24.97014617919922,280100
1993-03-04 14:00:00,-0.005540062947483369,24.831809997558594,89500
1993-03-05 14:00:00,-0.002785847168220035,24.762632369995117,40000
1993-03-08 14:00:00,0.022346958668467108,25.316001892089844,50800
1993-03-09 14:00:00,-0.0034158384362213585,25.22952651977539,169300
1993-03-10 14:00:00,0.002056164949214283,25.281402587890625,194400
1993-03-11 14:00:00,-0.0027352487442978872,25.212251663208008,70900
1993-03-12 14:00:00,-0.010288398492988718,24.952857971191406,643600
1993-03-15 14:00:00,0.004850531443417015,25.07389259338379,310800
1993-03-16 14:00:00,0.0,25.07389259338379,30800
1993-03-17 14:00:00,-0.006206858831939075,24.918262481689453,21800
1993-03-18 14:00:00,0.006245624541787243,25.07389259338379,59300
1993-03-19 14:00:00,-0.0015136231023705339,25.035940170288086,66900
1993-03-22 14:00:00,-0.005551330282858284,24.896957397460938,183400
1993-03-23 14:00:00,0.0020936667060951295,24.94908332824707,55200
1993-03-24 14:00:00,0.0,24.94908332824707,37200
1993-03-25 14:00:00,0.006267112775844664,25.10544204711914,110100
1993-03-26 14:00:00,-0.0055362658805535305,24.96645164489746,101500
1993-03-29 14:00:00,0.0041759071373473206,25.070709228515625,87100
1993-03-30 14:00:00,0.0027720059353610457,25.14020538330078,56000
1993-03-31 14:00:00,-0.0006916168691393512,25.122817993164062,111600
1993-04-01 14:00:00,-0.0034581241204555985,25.035940170288086,129500
1993-04-02 14:00:00,-0.020818078989989594,24.514739990234375,59400
1993-04-05 13:00:00,0.004960715125999161,24.636350631713867,172200
1993-04-06 13:00:00,-0.0028208012004450416,24.566856384277344,129700
1993-04-07 13:00:00,0.0035357622777697204,24.653718948364258,28000
1993-04-08 13:00:00,-0.001409213572177304,24.618976593017578,180800
1993-04-12 13:00:00,0.014114114393302341,24.96645164489746,348500
1993-04-13 13:00:00,0.002087991766905831,25.01858139038086,146100
1993-04-14 13:00:00,-0.0013887383202578771,24.983837127685547,119600
1993-04-15 13:00:00,0.0,24.983837127685547,148600
1993-04-16 13:00:00,0.0,24.983837127685547,47900
1993-04-19 13:00:00,-0.004173153938787635,24.879575729370117,157000
1993-04-20 13:00:00,-0.004887510892886672,24.757976531982422,279500
1993-04-21 13:00:00,-0.0007022174354849768,24.740591049194336,67900
1993-04-22 13:00:00,-0.012639930245439992,24.427871704101562,97700
1993-04-23 13:00:00,-0.004268288874105584,24.323606491088867,106000
1993-04-26 13:00:00,-0.007857236675730196,24.132490158081055,62600
1993-04-27 13:00:00,0.010800027662790583,24.39312171936035,156800
1993-04-28 13:00:00,-0.0021366764508401388,24.341001510620117,85900
1993-04-29 13:00:00,0.004282346506478959,24.44523811340332,85000
1993-04-30 13:00:00,0.0014211540029548206,24.479978561401367,88500
1993-05-03 13:00:00,0.0063877535644193155,24.636350631713867,80500
