dominant_topic,sentiment,count
1,negative,683
3,positive,1844
6,neutral,1609
4,positive,1217
5,positive,1856
4,negative,1158
5,negative,584
1,neutral,847
3,neutral,1597
3,negative,648
2,neutral,801
5,neutral,869
0,neutral,790
0,positive,1253
7,negative,60
7,positive,7
6,negative,3088
6,positive,1227
0,negative,1251
