decade,usa_gdp_growth_%,usa_gdp_avg,korea_gdp_growth_%,korea_gdp_avg,sp500_price_growth_%,sp500_price_avg,sp500_volume_growth_%,sp500_volume_avg,btc_price_growth_%,btc_price_avg,btc_volume_growth_%,btc_volume_avg,eth_price_growth_%,eth_price_avg,eth_volume_growth_%,eth_volume_avg,korea_real_estate_growth_%,korea_real_estate_avg
1970s,144.79,1710695600000.0,643.43,27224364685.54,0.0,25.39,0.0,51762800.0,0.0,363.69,0.0,2526711120.0,0.0,532.09,0.0,106819773376.0,0.0,108.0
1980s,97.44,4173163100000.0,277.58,121456288205.86,0.0,25.39,0.0,51762800.0,0.0,363.69,0.0,2526711120.0,0.0,532.09,0.0,106819773376.0,0.0,108.0
1990s,61.51,7577180700000.0,75.57,445317227835.64,228.78,40.48,3424.19,512074800.0,0.0,363.69,0.0,2526711120.0,0.0,532.09,0.0,106819773376.0,54.67,149.16
2000s,41.24,12601257200000.0,63.83,839898597272.91,-22.12,81.09,3113.05,24529284320.0,0.0,363.69,0.0,2526711120.0,0.0,532.09,0.0,106819773376.0,130.0,315.34
2010s,43.13,18030002600000.0,44.4,1449571916942.17,205.43,166.17,-66.6,31923129690.0,1933.38,2163.3,241582.88,924602869904.5,-65.84,492.2,2280.61,422858066191.0,81.26,570.32
2020s,36.67,25589553600000.0,4.16,1712449431798.13,78.92,407.38,-43.02,20544480060.0,493.4,36314.93,13.37,12123500891571.8,890.08,1982.67,33.65,6100839981561.6,9.52,1077.51
