year,usa_gdp,korea_gdp,sp500_price,sp500_volume,btc_price,btc_volume,eth_price,eth_volume,korea_real_estate
1970,1073303000000.0,9005144969.11666,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1971,1164850000000.0,9903571248.53268,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1972,1279110000000.0,10862211760.8252,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1973,1425376000000.0,13876472208.2678,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1974,1545243000000.0,19543973941.3681,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1975,1684904000000.0,21784297520.6612,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1976,1873412000000.0,29902479338.843,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1977,2081826000000.0,38446487603.3058,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1978,2351599000000.0,51972107438.0165,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1979,2627333000000.0,66946900826.4463,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1980,2857307000000.0,65398377597.5108,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1981,3207041000000.0,72933533011.7706,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1982,3343789000000.0,78358416171.4889,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1983,3634038000000.0,87760553261.9279,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1984,4037613000000.0,97510744119.1162,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1985,4338979000000.0,101296177099.377,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1986,4579631000000.0,116836246284.832,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1987,4855215000000.0,147948709376.434,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1988,5236438000000.0,199591287824.777,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1989,5641580000000.0,246928837311.406,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1990,5963144000000.0,283365844161.092,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,108.0
1991,6158129000000.0,330647042837.334,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,116.64000000000001
1992,6520327000000.0,355524903068.056,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,125.97120000000002
1993,6858559000000.0,392665710525.411,25.394735279246273,51762800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,136.04889600000004
1994,7287236000000.0,463619823515.164,26.439662259722514,101364400.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,146.93280768000005
1995,7639749000000.0,566581003128.204,31.948024795168923,79076300.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,158.68743229440005
1996,8073122000000.0,610167053824.007,40.363137312761445,229314200.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,171.38242687795207
1997,8577552000000.0,569755022973.035,53.50711766721703,806460900.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,185.09302102818825
1998,9062817000000.0,383331833681.821,67.43644526648143,1873262600.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,175.83836997677884
1999,9631172000000.0,497514040642.262,83.4929648202563,1824218400.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,167.04645147793988
2000,10250952000000.0,576179387819.613,90.69065523904467,1931577800.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,187.09202565529267
2001,10581929000000.0,547656279894.587,76.8148493151511,3420728000.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,209.5430687339278
2002,10929108000000.0,627246933729.618,64.84904655577644,8516467700.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,234.68823698199918
2003,11456450000000.0,702714855193.904,64.10704924568297,10303214100.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,262.8508254198391
2004,12217196000000.0,793175561887.027,76.25260210794116,10794486300.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,294.39292447021984
2005,13039197000000.0,934901071332.984,82.7848282465859,15408979600.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,329.72007540664623
2006,13815583000000.0,1053216909887.56,91.46642455446768,17580332100.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,369.2864844554438
2007,14474228000000.0,1172614086539.86,104.95079417437671,39313707500.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,413.6008625900971
